date,region,sku,units,unit_price_usd
2026-01-01,north,WGT-100,7,18.41
2026-01-01,north,"BUNDLE, STARTER (A,B)",22,103.70
2026-01-01,north,GAD-075,1,129.16
2026-01-01,north,GAD-075,28,249.64
2026-01-02,north,WGT-100,39,234.47
2026-01-02,north,WGT-100,39,103.28
2026-01-02,north,GAD-050,11,236.98
2026-01-02,north,"BUNDLE, STARTER (A,B)",13,88.74
2026-01-02,north,BRK-990,3,238.02
2026-01-03,north,THB-300,25,246.01
2026-01-03,north,SPR-410,5,156.46
2026-01-03,north,GAD-050,13,104.70
2026-01-03,north,"KIT, DELUXE 12PC",29,144.86
2026-01-04,north,"CABLE PACK, 3M/5M",33,47.26
2026-01-04,north,GAD-075,26,21.38
2026-01-04,north,WGT-200,29,155.35
2026-01-04,north,SPR-410,35,132.71
2026-01-04,north,GAD-050,10,114.62
2026-01-04,north,CBL-220,8,164.08
2026-01-04,north,"BUNDLE, STARTER (A,B)",29,179.45
2026-01-05,north,CBL-220,5,43.48
2026-01-05,north,WGT-200,1,232.55
2026-01-05,north,BRK-990,26,165.42
2026-01-05,north,THB-300,7,109.27
2026-01-06,north,SPR-410,21,181.19
2026-01-06,north,WGT-200,38,134.26
2026-01-06,north,CBL-220,31,155.14
2026-01-06,north,"KIT, DELUXE 12PC",20,117.75
2026-01-06,north,GAD-050,14,227.61
2026-01-06,north,"TOOL SET, ""PRO"", V2",9,165.03
2026-01-06,north,BRK-990,13,12.63
2026-01-06,north,WGT-200,39,46.15
2026-01-07,north,GAD-050,22,145.09
2026-01-07,north,GAD-050,10,50.06
2026-01-07,north,CBL-220,2,28.04
2026-01-07,north,BRK-990,23,44.73
2026-01-07,north,GAD-075,25,202.14
2026-01-07,north,THB-300,26,5.89
2026-01-08,north,WGT-100,28,23.93
2026-01-08,north,SPR-410,20,237.71
2026-01-08,north,THB-300,38,64.77
2026-01-08,north,SPR-410,1,166.70
2026-01-08,north,"KIT, DELUXE 12PC",36,60.33
2026-01-08,north,WGT-100,9,224.14
2026-01-08,north,"TOOL SET, ""PRO"", V2",30,74.64
