date,region,sku,units,unit_price_usd
2026-02-01,south,SPR-410,25,79.79
2026-02-01,south,GAD-075,16,3.42
2026-02-01,south,CBL-220,35,49.55
2026-02-01,south,WGT-100,35,52.00
2026-02-02,south,SPR-410,40,189.37
2026-02-02,south,CBL-220,12,66.79
2026-02-02,south,THB-300,11,57.32
2026-02-02,south,CBL-220,3,223.12
2026-02-02,south,THB-300,8,15.50
2026-02-02,south,GAD-050,34,100.69
2026-02-02,south,WGT-100,4,187.43
2026-02-02,south,THB-300,11,17.68
2026-02-02,south,THB-300,23,52.32
2026-02-02,south,GAD-075,6,79.77
2026-02-03,south,GAD-050,12,247.38
2026-02-03,south,GAD-050,29,29.99
2026-02-04,south,WGT-100,5,95.95
2026-02-04,south,GAD-050,2,94.13
2026-02-04,south,SPR-410,26,82.75
2026-02-04,south,BRK-990,25,248.38
2026-02-04,south,GAD-050,7,18.64
2026-02-04,south,THB-300,38,117.59
2026-02-04,south,THB-300,28,246.52
2026-02-04,south,BRK-990,7,131.94
2026-02-04,south,GAD-075,39,187.96
2026-02-04,south,BRK-990,35,203.38
2026-02-04,south,BRK-990,29,79.09
2026-02-04,south,BRK-990,25,211.88
2026-02-05,south,GAD-050,21,219.96
2026-02-05,south,SPR-410,19,172.27
2026-02-05,south,GAD-050,1,102.47
2026-02-05,south,CBL-220,25,67.33
2026-02-05,south,GAD-075,16,10.26
2026-02-05,south,WGT-100,8,137.55
2026-02-05,south,BRK-990,19,44.53
2026-02-05,south,GAD-075,7,108.36
2026-02-05,south,GAD-050,11,209.70
2026-02-05,south,SPR-410,22,217.13
2026-02-05,south,"BUNDLE, STARTER (A,B)",40,91.56
2026-02-05,south,SPR-410,37,76.02
2026-02-06,south,GAD-050,4,105.23
2026-02-06,south,"BUNDLE, STARTER (A,B)",21,168.50
2026-02-06,south,WGT-200,39,239.07
2026-02-06,south,WGT-200,28,164.78
2026-02-06,south,CBL-220,39,228.93
2026-02-06,south,GAD-075,30,180.25
2026-02-06,south,CBL-220,36,50.65
2026-02-06,south,SPR-410,18,227.96
2026-02-06,south,GAD-075,6,150.58
2026-02-07,south,THB-300,20,179.98
2026-02-07,south,SPR-410,5,18.75
2026-02-07,south,"KIT, DELUXE 12PC",33,217.92
2026-02-07,south,THB-300,22,217.33
2026-02-07,south,SPR-410,25,108.08
2026-02-07,south,THB-300,4,131.53
2026-02-08,south,"BUNDLE, STARTER (A,B)",8,15.67
2026-02-08,south,CBL-220,8,134.21
2026-02-08,south,WGT-200,38,143.83
2026-02-08,south,WGT-100,32,161.33
2026-02-08,south,SPR-410,12,171.27
2026-02-08,south,GAD-075,3,104.79
2026-02-08,south,SPR-410,40,26.90
2026-02-08,south,GAD-050,20,60.86
2026-02-09,south,GAD-050,31,53.54
2026-02-09,south,BRK-990,28,177.05
2026-02-09,south,CBL-220,39,140.37
2026-02-09,south,"CABLE PACK, 3M/5M",29,156.64
2026-02-09,south,"CABLE PACK, 3M/5M",22,208.36
2026-02-10,south,CBL-220,26,104.86
2026-02-10,south,THB-300,39,242.33
2026-02-10,south,THB-300,17,40.27
2026-02-10,south,THB-300,23,16.59
2026-02-10,south,SPR-410,23,234.48
2026-02-10,south,CBL-220,5,194.19
2026-02-10,south,WGT-100,26,147.93
2026-02-11,south,"CABLE PACK, 3M/5M",38,130.45
2026-02-11,south,CBL-220,31,32.06
2026-02-11,south,SPR-410,19,61.40
2026-02-11,south,WGT-200,6,35.75
2026-02-11,south,BRK-990,21,38.63
2026-02-11,south,BRK-990,38,206.51
2026-02-11,south,GAD-050,11,212.16
2026-02-11,south,GAD-050,18,129.32
2026-02-11,south,WGT-100,24,140.90
2026-02-11,south,GAD-050,18,139.35
2026-02-12,south,THB-300,40,190.47
2026-02-12,south,CBL-220,21,106.23
2026-02-12,south,GAD-050,18,27.90
2026-02-12,south,GAD-050,19,232.04
2026-02-12,south,BRK-990,23,170.20
2026-02-12,south,GAD-050,29,86.92
2026-02-12,south,"TOOL SET, ""PRO"", V2",20,41.49
2026-02-13,south,"KIT, DELUXE 12PC",36,151.12
2026-02-13,south,GAD-075,5,49.97
2026-02-13,south,WGT-100,22,249.60
2026-02-13,south,BRK-990,29,97.37
2026-02-13,south,THB-300,18,130.38
2026-02-13,south,THB-300,30,47.12
2026-02-13,south,CBL-220,28,118.11
2026-02-13,south,WGT-100,16,169.76
2026-02-14,south,CBL-220,1,87.36
2026-02-14,south,WGT-100,35,21.37
2026-02-14,south,SPR-410,31,7.92
2026-02-14,south,GAD-075,1,52.42
2026-02-14,south,THB-300,9,214.46
2026-02-14,south,BRK-990,16,77.64
2026-02-14,south,GAD-075,24,229.23
2026-02-14,south,WGT-100,39,99.99
2026-02-14,south,THB-300,16,76.29
2026-02-14,south,BRK-990,2,194.30
2026-02-15,south,CBL-220,20,248.44
2026-02-15,south,"BUNDLE, STARTER (A,B)",4,53.09
2026-02-15,south,SPR-410,22,7.28
2026-02-15,south,SPR-410,33,102.41
2026-02-15,south,SPR-410,7,153.55
2026-02-15,south,BRK-990,16,53.69
2026-02-15,south,SPR-410,4,104.57
2026-02-15,south,WGT-100,16,41.53
2026-02-16,south,"CABLE PACK, 3M/5M",12,240.53
2026-02-16,south,THB-300,40,172.22
2026-02-16,south,WGT-100,17,203.45
2026-02-16,south,THB-300,22,155.95
2026-02-16,south,THB-300,23,71.45
2026-02-16,south,GAD-075,40,98.63
2026-02-16,south,"BUNDLE, STARTER (A,B)",15,162.71
2026-02-16,south,GAD-050,13,194.80
2026-02-16,south,WGT-100,34,4.44
2026-02-16,south,WGT-200,1,19.68
2026-02-17,south,THB-300,20,118.89
2026-02-17,south,CBL-220,11,42.08
2026-02-17,south,WGT-100,25,75.02
2026-02-18,south,BRK-990,28,185.64
2026-02-18,south,THB-300,40,247.26
2026-02-18,south,THB-300,23,215.40
2026-02-18,south,WGT-100,30,235.54
2026-02-18,south,WGT-100,27,196.50
2026-02-18,south,SPR-410,18,185.65
2026-02-18,south,GAD-075,25,93.68
2026-02-19,south,GAD-075,16,67.51
2026-02-19,south,SPR-410,11,124.67
2026-02-19,south,"KIT, DELUXE 12PC",23,186.70
2026-02-19,south,"CABLE PACK, 3M/5M",28,228.07
2026-02-19,south,"KIT, DELUXE 12PC",23,129.35
2026-02-19,south,WGT-200,20,209.69
2026-02-19,south,"TOOL SET, ""PRO"", V2",17,236.91
2026-02-19,south,SPR-410,22,66.46
2026-02-19,south,BRK-990,36,54.58
2026-02-19,south,GAD-075,9,35.01
2026-02-20,south,GAD-050,7,101.93
2026-02-20,south,WGT-200,22,147.18
2026-02-20,south,THB-300,29,155.60
2026-02-20,south,CBL-220,33,229.80
2026-02-20,south,WGT-100,15,131.09
2026-02-20,south,SPR-410,38,128.61
2026-02-20,south,BRK-990,23,229.94
2026-02-20,south,GAD-075,3,171.73
2026-02-20,south,BRK-990,27,92.29
2026-02-21,south,THB-300,2,177.25
2026-02-21,south,THB-300,34,114.69
2026-02-21,south,GAD-050,23,2.30
2026-02-21,south,CBL-220,9,65.41
2026-02-21,south,CBL-220,39,186.45
2026-02-21,south,WGT-200,33,105.42
2026-02-21,south,"CABLE PACK, 3M/5M",25,185.53
2026-02-22,south,"BUNDLE, STARTER (A,B)",28,108.51
2026-02-22,south,BRK-990,35,3.38
2026-02-22,south,GAD-050,17,28.47
2026-02-22,south,CBL-220,24,25.12
2026-02-22,south,SPR-410,17,14.85
2026-02-23,south,THB-300,25,247.31
2026-02-23,south,BRK-990,40,247.38
2026-02-23,south,SPR-410,3,87.67
2026-02-23,south,WGT-200,9,92.45
2026-02-23,south,"TOOL SET, ""PRO"", V2",6,243.02
2026-02-23,south,GAD-050,13,110.08
2026-02-23,south,SPR-410,15,224.00
2026-02-23,south,GAD-050,33,13.20
2026-02-23,south,GAD-075,16,139.91
2026-02-23,south,BRK-990,21,110.35
2026-02-24,south,GAD-050,23,214.67
2026-02-24,south,GAD-075,25,242.18
2026-02-24,south,GAD-050,8,36.88
2026-02-25,south,WGT-200,21,147.92
2026-02-25,south,"TOOL SET, ""PRO"", V2",10,101.63
2026-02-25,south,CBL-220,23,125.29
2026-02-26,south,WGT-100,38,139.01
2026-02-26,south,"TOOL SET, ""PRO"", V2",8,155.05
2026-02-26,south,THB-300,39,107.88
2026-02-26,south,THB-300,12,154.84
2026-02-26,south,WGT-100,12,211.53
2026-02-26,south,WGT-100,23,78.56
2026-02-27,south,WGT-100,31,101.23
