sku,total_units,total_value_usd,warehouses
SKU-0267,3610,3361464.71,acef
SKU-0408,1070,323726.14,cd
SKU-0439,6525,3873601.19,af
SKU-0478,833,706342.35,e
SKU-0693,714,187400.78,bc
SKU-0728,1104,948615.93,bd
SKU-0810,1277,509486.43,ad
SKU-0889,1334,2348664.36,ef
SKU-0929,1808,848113.18,adf
SKU-1178,1181,1543525.18,bcdf
SKU-1308,304,123661.12,a
SKU-1397,425,10357.25,e
SKU-1400,336,123725.28,d
SKU-1492,8040,1454693.70,bcf
SKU-1522,937,752632.43,bc
SKU-1534,1368,398495.50,de
SKU-1572,1252,645888.98,bc
SKU-1592,210,169437.68,ce
SKU-1746,596,163077.52,d
SKU-1895,725,591360.75,d
SKU-1937,99,44563.86,c
SKU-2005,1009,723362.67,aef
SKU-2094,801,408777.73,ade
SKU-2843,5213,3146814.83,bef
SKU-3304,2534,794590.32,acdf
SKU-3471,888,240246.10,ac
SKU-3868,8463,6277722.13,abdf
SKU-4128,9539,5522221.45,abcf
SKU-4495,1177,583426.27,bd
SKU-4591,921,45239.52,e
SKU-4715,416,190984.64,de
SKU-4822,1730,907932.38,bdef
SKU-4831,1301,312745.62,bce
SKU-5248,1150,1231421.04,cef
SKU-5864,945,551672.10,c
SKU-6096,807,217717.41,acf
SKU-6114,3241,478511.40,bf
SKU-6127,920,332580.00,d
SKU-6202,178,68813.02,e
SKU-6296,1713,729948.75,ad
SKU-6468,789,612602.70,de
SKU-6595,2062,745168.64,acef
SKU-6625,777,182424.06,a
SKU-6831,1529,125436.71,cdf
SKU-7094,1705,634453.58,abe
SKU-7219,160,121113.60,d
SKU-7272,738,286218.54,e
SKU-7425,516,495301.54,d
SKU-7513,1319,760058.98,bef
SKU-7514,505,190003.53,bc
SKU-7608,1083,600413.28,de
SKU-7730,544,165219.96,bc
SKU-7776,3751,4366191.77,acef
SKU-7985,1135,582071.95,af
SKU-8124,6485,2500249.57,cdef
SKU-8451,656,453339.72,cd
SKU-9157,1016,266246.70,de
SKU-9656,515,44767.66,e
SKU-9663,1590,605499.76,cd
SKU-9766,1530,4267948.74,def
