sku,qty,unit_cost,currency,updated
SKU-7985,908,501.79,USD,2024-10-24
SKU-6296,903,410.15,USD,2023-09-10
SKU-0439,390,298.94,EUR,2023-06-26
SKU-7776,948,867.32,EUR,2025-02-23
SKU-6096,20,642.31,USD,2023-03-07
SKU-0810,739,59.29,EUR,2025-10-24
SKU-6595,844,248.22,EUR,2024-09-24
SKU-3868,531,394.82,EUR,2023-04-11
SKU-6625,777,234.78,USD,2023-12-23
SKU-2005,19,842.15,USD,2024-12-09
SKU-2094,503,505.03,USD,2023-08-13
SKU-4128,457,675.80,EUR,2024-04-25
SKU-0267,252,187.76,EUR,2024-08-17
SKU-1308,304,406.78,USD,2025-12-20
SKU-0929,534,822.23,USD,2023-12-09
SKU-3471,511,237.71,EUR,2024-08-27
SKU-3304,767,245.67,USD,2024-03-08
SKU-7094,293,840.99,USD,2023-04-09
