item_code,cost_per_unit,count,ccy,as_of
SKU-0693,792.32,7,USD,2023-01-11
SKU-7730,25.31,267,EUR,2025-08-06
SKU-0728,356.12,179,USD,2024-10-05
SKU-7514,393.87,451,USD,2024-04-19
SKU-4495,526.35,821,USD,2025-11-11
SKU-1522,812.83,918,USD,2024-01-15
SKU-4831,743.22,243,USD,2025-04-24
SKU-1178,715.18,246,USD,2023-09-26
SKU-6114,830.90,66,USD,2023-11-26
SKU-4128,315.18,835,USD,2023-05-03
SKU-7094,132.15,489,EUR,2023-08-18
SKU-1492,771.68,190,USD,2024-01-09
SKU-7513,301.34,488,USD,2023-07-13
SKU-1572,305.01,725,USD,2024-12-26
SKU-3868,362.74,415,USD,2024-02-08
SKU-4822,42.74,89,USD,2025-10-14
SKU-2843,316.35,447,USD,2024-01-22
