sku	qty	unit_cost	currency	updated
SKU-5864	945	583.78	USD	2023-12-25
SKU-1572	527	805.99	USD	2023-05-05
SKU-6595	713	263.26	USD	2025-04-01
SKU-3471	5	46.37	USD	2025-02-09
SKU-1522	19	339.71	USD	2024-02-26
SKU-6831	850	3.25	EUR	2024-06-22
SKU-1937	99	450.14	USD	2024-11-09
SKU-7776	728	42.37	USD	2024-10-01
SKU-7730	277	569.87	USD	2025-04-14
SKU-3304	48	71.08	EUR	2023-05-24
SKU-3471	372	289.28	USD	2023-03-15
SKU-0693	707	257.22	USD	2024-07-19
SKU-5248	281	70.12	USD	2023-08-20
SKU-8451	341	842.67	USD	2025-06-22
SKU-7514	54	229.04	USD	2023-01-22
SKU-1492	940	70.95	USD	2025-04-09
SKU-8124	714	552.76	EUR	2023-03-18
SKU-1178	688	462.28	USD	2025-12-11
SKU-6096	682	198.58	USD	2025-02-03
SKU-4128	60	238.39	USD	2024-08-07
SKU-0408	533	125.33	EUR	2024-04-08
SKU-1592	104	838.62	EUR	2023-07-25
SKU-0267	185	161.54	USD	2025-10-03
SKU-6595	247	161.92	EUR	2023-06-22
SKU-4831	165	101.87	USD	2025-10-20
SKU-0267	256	88.77	USD	2024-12-10
SKU-9663	692	356.21	USD	2023-11-09
