sku;qty;unit_cost;currency;updated
SKU-7094;923;315,69;EUR;27.06.2024
SKU-4822;726;456,49;USD;07.08.2025
SKU-6468;20;330,52;USD;14.06.2025
SKU-0889;704;444,99;USD;23.03.2023
SKU-9656;515;79,75;EUR;12.01.2025
SKU-1592;106;701,62;USD;21.06.2023
SKU-4715;285;361,15;USD;07.10.2024
SKU-6202;178;386,59;USD;23.06.2024
SKU-1397;425;24,37;USD;21.06.2024
SKU-1534;567;446,03;USD;12.12.2023
SKU-9157;245;818,13;USD;04.10.2024
SKU-2094;207;738,21;USD;03.11.2024
SKU-7776;503;659,49;USD;26.03.2024
SKU-8124;263;251,39;USD;27.05.2025
SKU-0267;619;471,89;USD;10.06.2024
SKU-2843;98;42,90;EUR;21.08.2024
SKU-5248;352;383,56;USD;21.03.2023
SKU-7272;738;387,83;USD;19.04.2025
SKU-2005;880;686,85;EUR;01.07.2025
SKU-4831;893;118,49;EUR;18.06.2024
SKU-6595;226;799,67;EUR;26.11.2024
SKU-7513;783;710,68;EUR;13.12.2023
SKU-9766;434;690,25;USD;19.09.2023
SKU-0478;833;847,95;USD;14.11.2024
SKU-4591;921;49,12;USD;08.03.2023
SKU-7608;200;732,05;USD;02.08.2025
