sku,qty,unit_cost,currency,updated
SKU-0439,"6,135",610.68,USD,11/17/2025
SKU-0929,892,97.91,EUR,12/20/2025
SKU-0889,630,"3,230.78",USD,09/26/2024
SKU-2005,110,441.23,USD,02/15/2023
SKU-3868,"7,479",719.31,EUR,07/13/2025
SKU-2843,"4,668",642.85,USD,10/23/2024
SKU-6595,32,"2,766.48",USD,11/19/2025
SKU-6114,"3,175",133.44,USD,02/18/2023
SKU-7985,227,511.04,EUR,04/09/2025
SKU-1178,221,"4,689.34",USD,09/10/2024
SKU-1492,"6,910",179.65,USD,09/26/2025
SKU-9766,825,"4,567.92",USD,03/15/2023
SKU-4822,383,756.65,USD,12/28/2024
SKU-6831,12,42.32,EUR,06/21/2024
SKU-7513,48,123.49,EUR,02/09/2024
SKU-0267,"2,298","1,183.79",EUR,10/02/2023
SKU-6096,105,661.33,USD,08/17/2023
SKU-3304,"1,478",286.14,USD,02/17/2025
SKU-8124,"4,717",309.04,USD,11/20/2025
SKU-7776,"1,572","1,976.72",USD,11/10/2023
SKU-5248,517,"2,082.60",USD,11/22/2024
SKU-4128,"8,187",599.50,USD,09/01/2024
