event_id,user,tags
e000000,u030,hollow-fjord|silver-nectar|pale-grove
e000001,u015,lunar-orchid|mossy-inlet
e000002,u000,gilded-orchid|jade-mesa
e000003,u114,pale-inlet
e000004,u143,brisk-echo|tidal-juniper
e000005,u103,iron-fjord|mossy-knoll|frost-fjord
e000006,u027,tidal-nectar|rustic-orchid|keen-juniper|iron-inlet
e000007,u116,noble-grove|tidal-knoll
e000008,u116,ember-fjord
e000009,u016,dusty-echo|hollow-cinder|amber-delta
e000010,u113,coral-cinder
e000011,u148,gilded-juniper|brisk-echo|keen-mesa
e000012,u136,mossy-echo|frost-anchor
e000013,u128,ember-juniper|gilded-nectar
e000014,u094,hollow-cinder|ember-delta
e000015,u107,amber-harbor|quiet-delta|coral-nectar
e000016,u107,coral-nectar|hollow-grove|quiet-mesa|gilded-knoll
e000017,u091,pale-fjord
e000018,u148,hollow-lagoon|lunar-juniper|keen-nectar
e000019,u019,amber-cinder|hollow-fjord|silver-grove
e000020,u022,opal-orchid
e000021,u085,hollow-mesa|tidal-grove
e000022,u113,amber-cinder|noble-delta
e000023,u009,rustic-anchor|ember-anchor
e000024,u035,ember-inlet|gilded-beacon
e000025,u029,tidal-delta|noble-echo
e000026,u095,mossy-beacon|amber-grove
e000027,u112,brisk-knoll|rustic-anchor|pale-fjord|rustic-nectar
e000028,u034,rustic-harbor|noble-knoll
e000029,u056,pale-beacon|opal-fjord
e000030,u026,frost-cinder|coral-harbor
e000031,u066,rustic-juniper|iron-harbor|quiet-beacon
e000032,u077,ember-anchor|quiet-harbor
e000033,u137,mossy-orchid|lunar-anchor|mossy-beacon
e000034,u113,keen-knoll
e000035,u038,pale-mesa|ember-echo|ember-juniper|brisk-juniper
e000036,u064,quiet-grove|jade-echo
e000037,u140,quiet-echo|opal-beacon|gilded-juniper
e000038,u143,ember-echo|amber-nectar
e000039,u018,silver-fjord|gilded-beacon
e000040,u069,noble-nectar|hollow-beacon
e000041,u048,frost-nectar|dusty-delta|frost-echo
e000042,u054,coral-lagoon|opal-beacon
e000043,u130,keen-delta|hollow-harbor|pale-lagoon|jade-orchid
e000044,u140,tidal-inlet
e000045,u074,noble-orchid|tidal-knoll|rustic-echo|iron-beacon
e000046,u120,hollow-mesa|gilded-nectar|hollow-juniper|iron-juniper
e000047,u149,coral-lagoon|ember-lagoon
e000048,u033,ember-beacon|frost-cinder|noble-lagoon|silver-cinder
e000049,u008,iron-knoll|jade-mesa
e000050,u111,noble-delta|opal-nectar
e000051,u063,keen-grove|iron-beacon|opal-knoll|rustic-lagoon
e000052,u110,iron-fjord|gilded-anchor|frost-orchid|brisk-grove
e000053,u125,amber-lagoon|tidal-juniper|ember-inlet
e000054,u127,jade-grove|noble-mesa|rustic-cinder
e000055,u115,noble-beacon
e000056,u108,coral-harbor|coral-grove|opal-anchor
e000057,u095,mossy-inlet|brisk-juniper
e000058,u040,dusty-mesa|silver-lagoon
e000059,u136,frost-beacon|gilded-mesa|frost-mesa|hollow-harbor
e000060,u095,iron-cinder|lunar-orchid
e000061,u035,gilded-beacon|mossy-nectar|noble-knoll
e000062,u033,coral-orchid|ember-cinder|ember-echo|tidal-grove
e000063,u148,iron-grove|quiet-grove|opal-juniper
e000064,u119,gilded-delta|gilded-mesa|lunar-juniper
e000065,u045,opal-orchid|coral-knoll
e000066,u092,rustic-grove|dusty-cinder|tidal-inlet|quiet-echo
e000067,u025,jade-orchid|quiet-nectar
e000068,u056,pale-echo|gilded-fjord
e000069,u128,coral-echo
e000070,u120,hollow-grove|rustic-echo|coral-inlet|frost-lagoon
e000071,u134,coral-grove
e000072,u101,silver-harbor|dusty-cinder|keen-juniper|opal-anchor
e000073,u110,iron-beacon|brisk-grove
e000074,u146,tidal-inlet|amber-echo|brisk-nectar
e000075,u149,jade-juniper|noble-juniper|silver-echo
e000076,u073,pale-beacon|quiet-inlet|hollow-nectar|ember-inlet
e000077,u089,pale-mesa|frost-orchid
e000078,u033,ember-nectar|noble-echo
e000079,u055,jade-lagoon|hollow-anchor
e000080,u080,hollow-juniper|iron-echo|keen-orchid
e000081,u011,rustic-fjord|ember-juniper
e000082,u013,opal-anchor
e000083,u092,brisk-cinder|dusty-cinder
e000084,u117,noble-mesa|jade-fjord
e000085,u011,brisk-grove|iron-cinder|keen-lagoon
e000086,u020,amber-harbor|noble-juniper
e000087,u106,pale-juniper
e000088,u127,ember-orchid
e000089,u031,coral-knoll|opal-fjord|noble-grove|iron-fjord
e000090,u064,opal-anchor|hollow-anchor
e000091,u024,silver-anchor
e000092,u066,mossy-juniper|lunar-orchid
e000093,u118,mossy-juniper|amber-grove|hollow-cinder|opal-anchor
e000094,u071,frost-knoll|coral-beacon
e000095,u072,lunar-anchor
e000096,u109,ember-juniper|quiet-echo
e000097,u117,gilded-lagoon|dusty-beacon
e000098,u021,quiet-beacon|quiet-harbor|pale-anchor
e000099,u081,lunar-fjord|opal-cinder
