A1	3
A2	6
A3	9
A4	12
A5	15
A6	18
A7	21
A8	24
A9	27
A10	30
A11	33
A12	36
A13	39
A14	42
A15	45
A16	48
A17	51
A18	54
A19	57
A20	60
B1	=A1 * 2
B2	=A2 * 2
B3	=A3 * 2
B4	=A4 * 2
B5	=A5 * 2
B6	=A6 * 2
B7	=A7 * 2
B8	=A8 * 2
B9	=A9 * 2
B10	=A10 * 2
B11	=A11 * 2
B12	=A12 * 2
B13	=A13 * 2
B14	=A14 * 2
B15	=A15 * 2
B16	=A16 * 2
B17	=A17 * 2
B18	=A18 * 2
B19	=A19 * 2
B20	=A20 * 2
C1	=SUM(A1:A20)
C2	=SUM(B1:B20)
C3	=MIN(A5:A15)
C4	=MAX(B2:B19)
C5	=COUNT(A1:B20)
C6	=COUNT(D1:D9)
C7	=SUM(A1:B5)
C8	=IF(C1 > 500, C2, C3)
C9	=IF(C1 <= 500, C2, C3)
C10	=SUM(D1:D5)
C11	=MAX(D1:D5)
